Date,Time,Network,Content Type,Sent by,Post,Impressions,Potential Reach,Engagement Rate (per Impression),Engagements,Likes,Comments,Shares,Click-Through Rate,Post Link Clicks,Other Post Clicks,Post Clicks (All),Post Media Clicks,Post Hashtag Clicks,Post Detail Expand Clicks,Profile Clicks,Other Engagements,Follows from Post,Unfollows from Post,Media Views
08/07/2023,9:30 AM,Twitter,Video,Kemi Amoo,"With an impressive track record and a wealth of knowledge, Juliet Ehimuan (@jehimuan) delivered an enlightening and captivating keynote address at LATTES 3.0. Visit https://t.co/KNVsOHaVRL if you missed it.
#LATTES
#ITCANBE https://t.co/qmcyIQaJAQ","2,341","409,204",27.51%,644,498,30,59,0.04%,1,56,57,29,0,15,12,0,0,0,246
08/07/2023,12:00 PM,Twitter,Photo,Sophia Amuka,"With our Home Loan, you can get the desired space that reflects your personal taste and style. Visit https://t.co/Dpi7LF0m1c  today to get started.
#ITCANBE https://t.co/NJo0Zye2H6","1,043","345,756",2.11%,22,7,2,1,0.19%,2,10,12,5,0,1,4,0,0,0,5
08/07/2023,3:00 PM,Twitter,Video,Sophia Amuka,"Experience the captivating highlights from our FUZE talent hunt, where dreams become reality and talent meets destiny. Visit https://t.co/vMQmSn3Q0y to watch more thrilling performances and unforgettable moments. 
#IgniteYourFUZE
#ITCANBE https://t.co/5qyvPaTi3p","1,107","345,603",3.88%,43,8,6,0,0.36%,4,25,29,15,0,6,4,0,0,0,106
07/07/2023,12:07 PM,Twitter,Photo,Sophia Amuka,"Invest in their happiness and watch as their future blossom with every contribution you make. ​
Visit https://t.co/GBahfCdARH or send an email to SITLAgency@stanbicibtc.com today to get started.​

#ITCANBE https://t.co/6HdYH9jN1F",922,"345,960",2.06%,19,5,1,2,0.33%,3,8,11,5,0,1,2,0,0,0,5
07/07/2023,3:59 PM,Twitter,Video,Damilare Oyekanmi,"How do you pursue happiness? Your Stanbic IBTC Mutual Funds investments can bring you great financial gains. Listen to the latest episode of our enlightening series, 'Chemistry of Wealth' at https://t.co/4vCihs0phS to find out how.

#ITCANBE
#InvestForMore https://t.co/BolrU1Nxc6","1,206","360,360",46.85%,565,468,28,46,0.17%,2,21,23,7,0,13,1,0,0,0,72
07/07/2023,7:42 PM,Twitter,Photo,Sophia Amuka,"Experience the ease and simplicity of transferring funds this weekend.

#ITCANBE https://t.co/WHCerRdjsl",967,"345,766",1.55%,15,6,1,1,0,0,7,7,7,0,0,0,0,0,0,7
07/07/2023,8:07 PM,Twitter,Video,Sophia Amuka,"Water is life. It is this understanding that propelled us to install three solar-powered boreholes, benefitting over 12,000 students at Charanchi Primary School, Goron Dutse Special Primary/Secondary School, and Kofir Naisa Special Primary School in Kano state, Nigeria.
#ITCANBE https://t.co/KdGlP7wusP",967,"345,765",2.28%,22,8,1,1,0,0,12,12,9,0,2,1,0,0,0,69
07/07/2023,8:40 PM,Twitter,Video,Blessing Ubah,"Where are the business gurus in Ibadan?
Join us at Gbagi and Agbeni Markets, where we'll embark on a transformative journey towards accelerating your business growth. 😉
Interested in opening a business account? Visit here now - https://t.co/gH3qMoUcvJ
#ITCANBE https://t.co/KFqbAnkJxg",995,"345,766",1.81%,18,4,1,1,0.30%,3,9,12,3,0,3,3,0,0,0,59
07/07/2023,8:44 PM,Twitter,Photo,Blessing Ubah,"Greatest Uites and Bodija market,we are coming your way! 
Join us as we embark on a transformative journey towards accelerating business growth. 😉 
Interested in opening a business account? Visit here now - https://t.co/gH3qMoUcvJ
#ITCANBE https://t.co/vwyFudnuZQ","1,019","347,082",2.75%,28,7,1,2,0%,0,18,18,12,0,5,1,0,0,0,12
07/07/2023,9:00 PM,Twitter,Photo,Sophia Amuka,Invest in the secure and reliable FGN Savings Bond and watch your wealth flourish. Send an email now to CallMe@stanbicibtc.com to start building a brighter financial future today. https://t.co/vIH5zT9G2T,"1,273","345,766",1.89%,24,9,2,1,0.08%,1,11,12,8,0,0,3,0,0,0,8
07/07/2023,9:30 PM,Twitter,Photo,Sophia Amuka,"Whether you are spending quality time with loved ones or indulging in some much-needed self-care, this weekend will be a beautiful one. Amen?
#Weekend
#ITCANBE https://t.co/3A25kVP5ke","1,288","346,320",2.48%,32,13,3,2,0,0,14,14,7,1,5,1,0,0,0,7
06/07/2023,12:20 PM,Twitter,Video,Blessing Ubah,"Stanbic IBTC PMI slightly dipped to 53.2 in June signalling a solid monthly improvement in the health of the private sector.

Here are the highlights.
#StanbicIBTCPMI
#ITCANBE https://t.co/6ebLyEdYOt","1,023","345,741",1.86%,19,3,5,1,0,0,10,10,6,0,3,1,0,0,0,81
06/07/2023,2:30 PM,Twitter,Photo,Kemi Amoo,"It was an unforgettable event filled with sights that left us in awe!
#LATTES
#ITCANBE https://t.co/OaVyjZ6uyz","1,089","347,488",2.48%,27,6,1,3,0,0,17,17,10,1,5,1,0,0,0,10
06/07/2023,3:10 PM,Twitter,Photo,Kemi Amoo,"Are you in Enugu or Port Harcourt? ​
Join us at the business masterclass, where business ideas are ignited and manifested.​
#ITCANBE https://t.co/DfwCyEJsZJ","1,613","347,056",2.79%,45,12,5,2,0,0,26,26,22,0,2,2,0,0,0,22
06/07/2023,5:16 PM,Twitter,Photo,Blessing Ubah,"Are you uncertain about the approach to take regarding your japa plans or how you can access your money while ‘in the abroad’? 
Make it a date with our experts on Twitter Spaces, and let's have a conversation about this.
Visit https://t.co/3LOVijaPUd to join.
#ITCANBE https://t.co/ee8Lf8AFrY","1,080","347,009",4.35%,47,5,5,2,1.39%,15,20,35,9,1,8,2,0,0,0,9
06/07/2023,6:35 PM,Twitter,Photo,Kemi Amoo,"Which song(s) evoke feelings of happiness and warm nostalgia for you when you think of Pallito?
#ITCANBE
#ThrowbackThursday https://t.co/rjOoUVdHLV","4,604","346,855",2.48%,114,27,15,5,0,0,67,67,57,0,4,6,0,0,0,57
06/07/2023,7:39 PM,Twitter,Video,Kemi Amoo,"Here is your one-stop guide on how to navigate the app and reset your password whenever you need to.
Download the Stanbic IBTC Mobile App now to begin.
#Invest
#TrustedBroker
#ITCANBE https://t.co/r41yhexn63","1,249","345,750",3.12%,39,7,6,1,0.08%,1,24,25,21,1,1,1,0,0,0,89
05/07/2023,11:02 AM,Twitter,Link, ,Ladies At The Table Series (LATTES) 3.0 https://t.co/AfVdW0hewh,0,"346,917",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/07/2023,11:04 AM,Twitter,Link, ,Ladies At The Table Series (LATTES) 3.0 https://t.co/aC7xDyPgCk,"1,606","347,133",4.23%,68,8,4,3,1.99%,32,20,52,0,0,19,1,1,1,0,0
05/07/2023,4:17 PM,Twitter,Video,Kemi Amoo,"Your investment shouldn’t only be in Naira. It can be in Dollars too. Visit https://t.co/tRoK2vpzaZ to get started.
#WealthWednesday
#ITCANBE https://t.co/XNrFe49uPh",675,"347,089",2.67%,18,3,1,2,0.44%,3,9,12,5,0,0,4,0,0,0,55
05/07/2023,9:50 PM,Twitter,Video, ,"Your investment shouldn’t only be in Naira. It can be in Dollars too. Send an email to CallMe@stanbicibtc.com to get started. #WealthWednesday 
#ITCANBE https://t.co/vTsw5LbNPd","1,474","345,624",2.31%,34,4,7,0,0,0,23,23,10,0,9,4,0,0,1,118
04/07/2023,9:00 AM,Twitter,Photo,Sophia Amuka,"Diversify your portfolio with Stanbic IBTC Money Market Fund. Visit https://t.co/IviMUaPRMD today to get started.​
#Invest​​
#MutualFunds​​
#ITCANBE https://t.co/UUMl0Uun2A","1,217","345,686",2.79%,34,6,5,1,0.82%,10,12,22,7,0,3,2,0,0,0,7
04/07/2023,9:57 AM,Twitter,Photo, ,"Driving growth beyond borders is what we do.
A selection of our clients were at the third biennial China-Africa Economic and Trade Expo (CAETE) through our parent group, Standard Bank, to exhibit their produce such as Soy Beans, Sorghum, Millet, Cashew nuts and Sesame Seeds. The… https://t.co/Cky2sz3Aac","1,224","347,006",3.19%,39,5,5,2,0,0,27,27,24,0,2,1,0,0,0,24
04/07/2023,11:39 AM,Twitter,Photo, ,"Tomorrow is D-DAY.​
Prepare to be immersed in a world of inspiration, knowledge, and limitless possibilities. It's your chance to meet our incredible speakers, receive vital insights, and ignite your personal and professional growth. ​
Click https://t.co/8OmzK4OUxb to download… https://t.co/1WVyiWWESv","1,104","346,995",2.72%,30,3,3,2,1%,11,11,22,4,0,6,1,0,0,0,4
04/07/2023,12:00 PM,Twitter,Photo,Sophia Amuka,"#MoneyManagement Tip 4:
Have self-control. Don't spend money you don't have.
#ITCANBE https://t.co/FJEYAI25BF","1,282","345,679",1.48%,19,7,4,1,0,0,7,7,3,1,2,1,0,0,0,3
04/07/2023,6:04 PM,Twitter,Photo,Sophia Amuka,"Start your journey to wealth with FGN Bonds!
Hurry now and invest in the July offer.
To get started, email CallMe@stanbicibtc.com or visit https://t.co/LVgneO9MDe

#Invest
#ITCANBE https://t.co/VBe7UFChl2","1,739","345,709",3.91%,68,7,10,1,0.75%,13,37,50,22,0,10,5,0,0,0,22
03/07/2023,8:00 AM,Twitter,Photo,Sophia Amuka,"Take charge and become the inspiration that sparks someone's journey this week! 💪 
#PowerUpMonday
#ITCANBE https://t.co/dYOKCwHVM8","2,688","345,610",1.82%,49,9,18,1,0,0,21,21,8,2,4,7,0,0,0,8
03/07/2023,12:03 PM,Twitter,Photo, ,"Driving growth beyond borders is what we do.
NALMACO, a leading food processing company, and other clients of Stanbic IBTC are currently exhibiting produce at the third biennial China-Africa Economic and Trade Expo (CAETE) through our parent group, Standard Bank. The expo aims to… https://t.co/aD1JFA2kWz",0,"346,273",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/07/2023,12:13 PM,Twitter,Photo, ,"Driving growth beyond borders is what we do.
NALMACO, a leading food processing company and other clients of Stanbic IBTC are currently exhibiting produce at the third biennial China-Africa Economic and Trade Expo (CAETE) through our parent group, Standard Bank. The expo aims to… https://t.co/S7UWnePDu4",0,"345,482",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/07/2023,12:16 PM,Twitter,Photo,Sophia Amuka,"If you have any additional questions or concerns about Will writing, feel free to reach out to us at SITLAgency@stanbicibtc.com. 
#ITCANBE https://t.co/GSVkVQYPLl","1,436","345,880",2.51%,36,7,4,3,0,0,22,22,20,0,1,1,0,0,0,20
03/07/2023,12:54 PM,Twitter,Photo,Blessing Ubah,"Ready to take your business to a whole new level? ​
Join us at the business masterclass and discover top achievers' strategies to dominate their industries.​
#ITCANBE https://t.co/JveOVVa2w0","1,313","347,768",2.36%,31,4,2,3,0,0,22,22,18,0,1,3,0,0,0,18
03/07/2023,3:15 PM,Twitter,Photo,Sophia Amuka,"#MoneyManagement Tip 3:
Save for your future today. Even a small amount can make a big difference.
#ITCANBE https://t.co/XfdG2XmfDr","1,820","345,700",1.65%,30,4,10,3,0,0,13,13,8,1,2,2,0,0,0,8
03/07/2023,7:58 PM,Twitter,Photo, ,"Are you ready to take charge, embrace your real potential, and leave a lasting impression? Look no further! ​
Join us at the Ladies At The Table Empowerment Series (LATTES) 3.0. https://t.co/OrnDIvZRek","2,029","347,139",2.37%,48,12,7,3,0,0,26,26,18,0,5,3,0,0,0,18
02/07/2023,12:17 PM,Twitter,Photo,Sophia Amuka,"Take the first step by opening a stockbroking account with Stanbic IBTC Stockbrokers. Send an email with StartWithZero@stanbicibtc.com to get started.
#Invest
#ITCANBE https://t.co/FJWBQkGybq","2,408","351,699",1.58%,38,13,5,3,0.04%,1,16,17,9,3,1,3,0,0,0,9
02/07/2023,5:55 PM,Twitter,Photo,Sophia Amuka,"#MoneyManagement Tip 2:
Budgeting is not about deprivation. It's about making sure your money is working for you.
#ITCANBE https://t.co/9YMmOdekVe","1,940","345,580",1.75%,34,13,4,1,0,0,15,15,6,2,3,4,1,1,0,6
02/07/2023,7:09 PM,Twitter,Photo,Sophia Amuka,"Are you ready?​
Join us in three days for an event that promises to be full of great insights and transforming encounters. ​
Catch us on YouTube Live and our other social media channels to experience the Ladies At The Table Empowerment Series 3.0.​

#LATTES​
#ITCANBE https://t.co/vjqtwk6Vxc","1,863","345,705",1.50%,28,5,2,2,0.11%,2,16,18,7,1,5,3,1,1,0,7
01/07/2023,8:00 AM,Twitter,Video,Sophia Amuka,"Wishing you a wonderful start to #July! May this month be filled with positivity, growth, and new beginnings. Take a moment to set your goals and chase your dreams. 
#ITCANBE https://t.co/xnoBfywEyP","2,805","347,031",3.24%,91,17,21,3,0,0,50,50,31,1,10,8,0,0,0,194
01/07/2023,12:10 PM,Twitter,Photo,Sophia Amuka,"Who doesn’t like transacting with convenience? Note these magic short codes for your use. 
#ITCANBE https://t.co/flN49YFcM5","2,012","349,285",4.37%,88,10,7,2,0,0,69,69,64,0,5,0,0,0,0,64
01/07/2023,4:48 PM,Twitter,Photo,Sophia Amuka,"#MoneyManagement Tip 1:
Want to take control of your finances? Start by tracking your spending.
#ITCANBE https://t.co/TuoyS7QYxQ","3,561","345,544",1.12%,40,6,8,1,0,0,25,25,9,3,6,7,0,0,0,9
30/06/2023,8:22 AM,Twitter,Photo, ,"Safeguard the well-being of your team members and unlock a brighter future for your employees. Take the first step by reaching out to us at insure@stanbicibtc.com or call 01 270 6801.
#ITCANBE https://t.co/AM9U9Seyvm","1,916","346,055",1.83%,35,10,9,3,0.05%,1,12,13,5,1,5,1,0,0,0,5
30/06/2023,8:24 AM,Twitter,Video, ,"With one Corporate Social Initiative at a time, we believe we can create a world where women and girls feel empowered to conquer their dreams. 
#ITCANBE https://t.co/I6XJbaF0SR","1,182","346,808",1.52%,18,5,5,2,0,0,6,6,4,1,1,0,0,0,0,87
30/06/2023,9:31 AM,Twitter,Photo,Damilare Oyekanmi,"Our E-trade platform and Stockbroking App gives our clients real-time market information and the ability to buy or sell shares with a single click. Visit https://t.co/YausPfl8vH to begin.
#GoForGrowth
#TrustedPartner
#ITCANBE https://t.co/3lKHsYZlCd","2,112","346,328",1.66%,35,2,9,3,0.38%,8,13,21,1,0,9,3,0,0,0,1
30/06/2023,10:40 AM,Twitter,Video,Damilare Oyekanmi,"Don't let budget constraints hinder you from owning your dream phone. With Stanbic IBTC Device Financing, you can easily acquire a high-quality mobile phone. Discover more in our latest episode of the enlightening 'Chemistry of Wealth.' Listen now at https://t.co/4vCihs0phS https://t.co/yDcb6jI77B","1,490","407,736",13.09%,195,125,15,17,0.34%,5,33,38,19,0,10,4,0,0,0,108
30/06/2023,2:50 PM,Twitter,Photo,Kemi Amoo,"Make it a date with us at the Ladies At The Table Empowerment Series 3.0 (LATTES). 
Don’t forget to tell a friend to follow the conversation on our social media channels.​

#LATTES
#ITCANBE https://t.co/wRwk5kzMk1","1,696","347,305",2.36%,40,8,5,3,0,0,24,24,16,0,7,1,0,0,0,16
30/06/2023,3:55 PM,Twitter,Photo,Damilare Oyekanmi,"A secure future awaits you beyond retirement. Experience peace of mind and the freedom to live life on your terms. Start your incredible journey at https://t.co/EOxreJHbgH. 
#ITCANBE https://t.co/kwwDJkwket","1,407","347,730",2.91%,41,8,11,4,0.50%,7,11,18,4,0,5,2,0,0,0,4
30/06/2023,5:10 PM,Twitter,Photo,Damilare Oyekanmi,"Keep your money in check even when you travel out.
Stay tuned for our Twitter Spaces conversation on Wednesday, 19 July 2023. Set a reminder here -https://t.co/iekyRsBHBP

#ITCANBE https://t.co/JDefZeJv27","1,219","345,759",4.68%,57,11,7,2,2.54%,31,6,37,5,1,0,0,0,0,0,5
30/06/2023,7:02 PM,Twitter,Video,Kemi Amoo,"Get ready to be inspired, enlightened, and motivated as we delve into another remarkable experience of growth and empowerment.
Join us on YouTube Live and our other social media channels to catch-up with the Ladies At The Table (LATTES) 3.0.
#LATTES
#ITCANBE https://t.co/4yPqpsSpbF","1,457","345,510",1.72%,25,4,4,1,0,0,16,16,11,0,4,1,0,0,0,92
30/06/2023,8:00 PM,Twitter,Photo,Kemi Amoo,"Make it a date with us at the Ladies At The Table Empowerment Series 3.0 (LATTES). 
Don’t forget to tell a friend to follow the conversation on our social media channels.​

#LATTES
#ITCANBE https://t.co/kMdEGsWyRg","1,377","347,306",2.18%,30,6,7,3,0,0,14,14,10,0,3,1,0,0,0,10
29/06/2023,10:13 AM,Twitter,Video,Damilare Oyekanmi,"We still haven’t gotten over the Reward4Saving 2.0 winning moments. 💃🏽 🕺🏽 
Get ready for the upcoming 3.0 promo. To participate, simply deposit N10,000 into a new or existing savings account or @easewallet. 
Let's embark on this savings journey together!  
#ITCANBE https://t.co/tMHUv6qtVm","1,200","345,781",2.67%,32,7,6,2,0,0,17,17,10,0,5,2,0,0,0,98
29/06/2023,12:11 PM,Twitter,Photo,Damilare Oyekanmi,"Repeat these words of affirmation and manifest your financial dreams into reality.🙏🏽 
#ITCANBE https://t.co/f9xBDpoZZz","1,942","348,192",2.32%,45,11,9,6,0.10%,2,16,18,8,0,4,4,1,1,0,8
29/06/2023,2:09 PM,Twitter,Photo,Damilare Oyekanmi,"Safeguard the well-being of your team members and unlock a brighter future for your employees. Take the first step by reaching out to us at insure@stanbicibtc.com or call 01 277 0394. 
#ITCANBE https://t.co/P3ExRcujFD","1,052","347,775",2.57%,27,10,5,3,0,0,9,9,2,0,7,0,0,0,0,2
29/06/2023,3:33 PM,Twitter,Video,Damilare Oyekanmi,"Everyone needs a support system to thrive, and the Blue Blossom Community offers just that!
Click https://t.co/NaTOTTAQwd to join today.
#GoBloom
#ITCANBE https://t.co/rD895T8ONF","1,172","353,385",2.56%,30,8,7,3,0.17%,2,10,12,4,0,6,0,0,0,0,86
29/06/2023,6:25 PM,Twitter,Photo,Damilare Oyekanmi,"Ladies! Mark the date on your calendar. The third edition of the Ladies At The Table Empowerment Series (LATTES) is here. 
Register now https://t.co/YKr7kMh3TC you don't want to miss it for anything!

#LATTES
#ITCANBE https://t.co/GuGgMYsZpY",633,"350,106",0.95%,6,1,1,2,0%,0,2,2,2,0,0,0,0,0,0,2
29/06/2023,8:47 PM,Twitter,Video,Damilare Oyekanmi,"With one CSI at a time, we believe we can create a world where women and girls feel empowered to conquer their dreams. 
#ITCANBE https://t.co/pxYFkRVnwx",0,"345,344",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28/06/2023,8:47 AM,Twitter,Video,Damilare Oyekanmi,"Wishing you and your loved ones an abundance of blessings during this joyous season.
Eid-el Kabir!
#ITCANBE https://t.co/AFaDqx2OjU","1,771","346,707",4.52%,80,10,12,1,0,0,56,56,37,0,16,3,1,1,0,111
28/06/2023,9:23 PM,Twitter,Video,Damilare Oyekanmi,"Go ahead, embrace your inner hero, and shield your home with confidence!
#WealthWednesday
#ITCANBE https://t.co/KkDqkbSRsv","1,588","345,393",2.27%,36,8,7,0,0,0,21,21,12,0,9,0,0,0,0,112
27/06/2023,8:00 AM,Twitter,Video,Sophia Amuka,"Today we recognise the passion, determination, and innovation of micro, small and medium-sized business owners worldwide. Thank you for driving growth, creating jobs and bringing unique products and services to the society.
You inspire us 💪 
#MSMEDay
#ITCANBE https://t.co/SnFi2P3VrE","1,460","347,857",3.29%,48,13,5,4,0,0,26,26,4,0,15,7,0,0,0,94
27/06/2023,11:00 AM,Twitter,Photo,Sophia Amuka,"To all the small business owners continually grinding and putting in the hard work, we see you and we appreciate you 💪 
Tag any small business in the comments to appreciate them!
#ITCANBE https://t.co/OgnRCZhOZI","2,585","346,846",2.63%,68,11,23,4,0,0,28,28,5,0,18,5,2,2,0,5
27/06/2023,4:38 PM,Twitter,Photo,Sophia Amuka,"Our branches will be closed on Wednesday and Thursday this week due to the Eid-el Kabir holidays.
You can stay on top of your transactions by using any of our digital channels.
#ITCANBE https://t.co/EMVFkJbbcU","1,227","345,906",2.93%,36,6,5,2,0,0,23,23,17,0,3,3,0,0,0,17
27/06/2023,4:53 PM,Twitter,Photo,Sophia Amuka,"They give their today to grow your business, so why not ensure a future without worries for them? Move your employees to a Stanbic IBTC Pension Plan and get them set for retirement. Send an email to CallMe@stanbicibtc.com to get started.
#ITCANBE https://t.co/Ex40Uzr6Dg","1,289","347,180",2.25%,29,3,2,2,0,0,22,22,11,0,9,2,0,0,0,11
26/06/2023,8:00 AM,Twitter,Photo,Sophia Amuka,"Your mindset sets the tone for your life!
Think positive thoughts this week and #GoForIt 💪 

#PowerUpMonday
#ITCANBE https://t.co/7DWqJYnWYl","2,513","367,014",2.39%,60,20,5,4,0,0,30,30,4,1,20,5,1,1,0,4
26/06/2023,10:00 AM,Twitter,Text,Sophia Amuka,Type 'IT CAN BE' if you will be making more sales and getting referrals for your business this week 💰 💸 💴,"1,422","345,317",1.97%,28,4,6,0,0,0,18,18,0,0,11,7,0,0,0,0
26/06/2023,11:38 AM,Twitter,Link, ,Set a reminder for my upcoming Space! https://t.co/hD9ttNneQI,967,"345,320",1.03%,10,3,2,0,0%,0,5,5,0,0,4,1,0,0,0,0
26/06/2023,1:00 PM,Twitter,Photo,Sophia Amuka,"Our dedicated team of investment banking specialists leverage deep sector insights to offer our clients innovative advisory, capital markets and financing solutions to drive growth.
Click https://t.co/u0q29P3QHN  to learn more.

#TrustedPartner
#ITCANBE https://t.co/RaUz6cAs5T","1,387","345,320",3.17%,44,5,11,0,0.07%,1,27,28,4,0,19,4,0,0,0,4
25/06/2023,10:00 AM,Twitter,Photo,Sophia Amuka,"No matter the investment vehicle you choose, we’ve got you covered. Email CallMe@stanbicibtc.com to get started.
#ITCANBE https://t.co/9rYCnbjtaN","1,526","346,845",4.98%,76,12,7,4,0,0,53,53,34,0,17,2,0,0,0,34
25/06/2023,2:00 PM,Twitter,Photo,Sophia Amuka,"What’s the best route for Karo Industries?
Drop your answers in the comments.

#ITCANBE https://t.co/avEwBzDAQ7","2,857","345,446",1.51%,43,6,7,1,0,0,29,29,10,0,13,6,0,0,0,10
