Date,Time,Network,Content Type,Sent by,Link,Post,Impressions,Organic Impressions,Reach,Organic Reach,Engagement Rate (per Impression),Engagement Rate (per Reach),Engagements,Reactions,Likes,Comments,Saves
08/07/2023,3:00 PM,Instagram,Photo,Blessing Ubah,https://www.instagram.com/p/CucF7aespiI/,"With our Home Loan, you can get the desired space that reflects your personal taste and style. Visit https://bit.ly/StanbicIBTCHomeLoans  today to get started.
#ITCANBE",477,477,453,453,5.45%,5.74%,26,12,12,13,1
07/07/2023,10:08 AM,Instagram,Photo,Blessing Ubah,https://www.instagram.com/p/CuY_xpwMkoP/,"Embrace the opportunity to invest in their education today. Visit www.stanbicibtctrustees.com or email SITLAgency@stanbicibtc.com today and help your child in opening doors to a brighter future.
#ITCANBE",525,525,479,479,6.48%,7.10%,34,17,17,17,0
07/07/2023,1:52 PM,Instagram,Photo,Blessing Ubah,https://www.instagram.com/p/CuZZVuQuDAn/,"Experience the ease and simplicity of transferring funds this weekend.
#ITCANBE",552,552,504,504,1.99%,2.18%,11,8,8,2,1
07/07/2023,6:01 PM,Instagram,Photo,Blessing Ubah,https://www.instagram.com/p/CuZ11bJuqkg/,"Whether you are spending quality time with loved ones or indulging in some much-needed self-care, this weekend will be a beautiful one. Amen?
#Weekend
#ITCANBE",454,454,418,418,3.96%,4.31%,18,16,16,2,0
07/07/2023,7:23 PM,Instagram,Photo,Blessing Ubah,https://www.instagram.com/p/CuZ_N_MMUf2/,"Invest in the secure and reliable FGN Savings Bond and watch your wealth flourish. Send an email now to CallMe@stanbicibtc.com to build a brighter financial future today.
#ITCANBE","4,978","4,978","4,806","4,806",2.07%,2.14%,103,61,61,29,13
07/07/2023,8:47 PM,Instagram,Carousel,Blessing Ubah,https://www.instagram.com/p/CuaI6J1I4Ql/,"Greatest Uites and Bodija market,we are coming your way! 💃🏽
Join us as we embark on a transformative journey towards accelerating business growth. 😉 
Interested in opening a business account? 
Visit here now - https://bit.ly/BusinessBankingAccounts
#ITCANBE",591,591,450,450,1.86%,2.44%,11,7,7,4,0
06/07/2023,2:30 PM,Instagram,Photo,Kemi Amoo,https://www.instagram.com/p/CuW45zIMb6Q/,"It was an unforgettable event filled with sights that left us in awe!
#LATTES
#ITCANBE",417,417,371,371,2.88%,3.23%,12,11,11,0,1
06/07/2023,3:10 PM,Instagram,Carousel,Kemi Amoo,https://www.instagram.com/p/CuW9h61Mc6c/,"Are you in Enugu or Port Harcourt? ​
Join us at the business masterclass, where business ideas are ignited and manifested.​
#ITCANBE​",517,517,392,392,3.29%,4.34%,17,10,10,7,0
06/07/2023,5:16 PM,Instagram,Photo,Blessing Ubah,https://www.instagram.com/p/CuXL8_yO1M1/,"Are you uncertain about the approach to take regarding your japa plans or how you can access your money while ‘in the abroad’? 
Make it a date with our experts on Twitter Spaces, and let's have a conversation about this.
Visit https://bit.ly/StanbicIBTC_TwitterSpaces to join.
#ITCANBE",658,658,624,624,1.98%,2.08%,13,13,13,0,0
06/07/2023,6:34 PM,Instagram,Photo,Kemi Amoo,https://www.instagram.com/p/CuXU0PHsn0A/,"Which song(s) evoke feelings of happiness and warm nostalgia for you when you think of Pallito?
#ITCANBE
#ThrowbackThursday",673,673,617,617,2.82%,3.08%,19,18,18,1,0
04/07/2023,9:00 AM,Instagram,Photo,Sophia Amuka,https://www.instagram.com/p/CuRJikBtnCr/,"Diversify your portfolio with Stanbic IBTC Money Market Fund. Visit https://bit.ly/StanbicIBTCMoneyMarketFund today to get started.​
#Invest​​
#MutualFunds​​
#ITCANBE ​",891,891,795,795,3.03%,3.40%,27,22,22,4,1
04/07/2023,10:57 AM,Instagram,Photo,Blessing Ubah,https://www.instagram.com/p/CuRW8vBM5LN/,"Tomorrow is D-DAY.​
Prepare to be immersed in a world of inspiration, knowledge, and limitless possibilities. It's your chance to meet our incredible speakers, receive vital insights, and ignite your personal and professional growth. ​
Visit the link in our bio and click on ‘LATTES 3.0’ to download the Stanbic IBTC Events App, to register today.
#LATTES​
#ITCANBE",678,678,599,599,3.69%,4.17%,25,19,19,6,0
04/07/2023,12:00 PM,Instagram,Photo,Sophia Amuka,https://www.instagram.com/p/CuReJb3sNiX/,"#MoneyManagement Tip 4:
Have self-control. Don't spend money you don't have.
#ITCANBE",762,762,665,665,2.62%,3.01%,20,12,12,8,0
04/07/2023,6:16 PM,Instagram,Photo, ,https://www.instagram.com/p/CuSJMvMo9Vz/,"Start your journey to wealth with FGN Bonds!
Hurry now and invest in the July offer.
To get started, email CallMe@stanbicibtc.com or visit the link in our bio and click on ‘FGN Bonds Offer’
#Invest
#ITCANBE","2,289","2,289","2,101","2,101",2.97%,3.24%,68,38,38,25,5
03/07/2023,8:00 AM,Instagram,Photo,Sophia Amuka,https://www.instagram.com/p/CuOd4OWsOCb/,"Take charge and become the inspiration that sparks someone's journey this week! 💪 
#PowerUpMonday
#ITCANBE",488,488,438,438,3.48%,3.88%,17,13,13,3,1
03/07/2023,12:06 PM,Instagram,Carousel, ,https://www.instagram.com/p/CuO6EmVoZZU/,"Driving growth beyond borders is what we do.
NALMACO, a leading food processing company and other clients of Stanbic IBTC are currently exhibiting produce at the third biennial China-Africa Economic and Trade Expo (CAETE) through our parent group, Standard Bank. The expo aims to boost African goods and services exports by establishing new platforms for direct business cooperation and cross-border trade.
At Stanbic IBTC, our Africa-China trade solution connects clients to an extensive network of vetted export partners and reputable Chinese importers. To learn more, visit https://bit.ly/AfricaChinaTradeSolutions
#GoForGrowth
#ITCANBE",0,0,0,0,0,0,5,4,4,1,0
03/07/2023,12:54 PM,Instagram,Carousel,Blessing Ubah,https://www.instagram.com/p/CuO_ihGNvXE/,"Ready to take your business to a whole new level? ​
Join us at the business masterclass and discover top achievers' strategies to dominate their industries.​
#ITCANBE",720,720,548,548,1.53%,2.01%,11,8,8,2,1
03/07/2023,1:23 PM,Instagram,Carousel,Blessing Ubah,https://www.instagram.com/p/CuPC8CUOUb6/,"Driving growth beyond borders is what we do.
A selection of our clients were at the third biennial China-Africa Economic and Trade Expo (CAETE) through our parent group, Standard Bank, to exhibit their produce such as Soy Beans, Sorghum, Millet, Cashew nuts and Sesame Seeds. The expo served to boost African goods and services exports by establishing new platforms for direct business cooperation and cross-border trade.
At Stanbic IBTC, our Africa-China trade solution connects clients to an extensive network of vetted export partners and reputable Chinese importers. To learn more, visit https://bit.ly/AfricaChinaTradeSolutions
#GoForGrowth
#itcanbe","1,218","1,218",923,923,3.53%,4.66%,43,38,38,5,0
03/07/2023,2:37 PM,Instagram,Carousel,Blessing Ubah,https://www.instagram.com/p/CuPLV4xoIHv/,"If you have any additional questions or concerns about Will writing, feel free to reach out to us at SITLAgency@stanbicibtc.com. 
#ITCANBE",675,675,527,527,1.93%,2.47%,13,10,10,3,0
03/07/2023,3:15 PM,Instagram,Photo,Sophia Amuka,https://www.instagram.com/p/CuPPqNqOlgD/,"#MoneyManagement Tip 3:
Save for your future today. Even a small amount can make a big difference.
#ITCANBE",668,668,604,604,2.84%,3.15%,19,10,10,7,2
03/07/2023,4:25 PM,Instagram,Carousel,Blessing Ubah,https://www.instagram.com/p/CuPXwO7oG7x/,"Are you ready to take charge, embrace your real potential, and leave a lasting impression? Look no further! ​
Join us at the Ladies At The Table Empowerment Series (LATTES) 3.0.​
Tune in to our live broadcast on our social media channels and embark on an extraordinary journey of self-discovery, growth, and empowerment.​
Visit the link in our bio and click on ‘LATTES 3.0’ to download the Stanbic IBTC Events App, to register today.
#LATTES​
#ITCANBE","1,008","1,008",741,741,3.87%,5.26%,39,22,22,13,4
02/07/2023,8:12 AM,Instagram,Photo,Damilare Oyekanmi,https://www.instagram.com/p/CuL6dAyMsex/,"Are you ready?​
Join us in three days for an event that promises to be full of great insights and transforming encounters. ​
Catch us on YouTube Live and our other social media channels to experience the Ladies At The Table Empowerment Series 3.0.​

#LATTES​
#ITCANBE​

​","1,228","1,228","1,122","1,122",3.34%,3.65%,41,33,33,7,1
02/07/2023,12:17 PM,Instagram,Photo,Sophia Amuka,https://www.instagram.com/p/CuMWfgtN2Zh/,"Take the first step by opening a stockbroking account with Stanbic IBTC Stockbrokers. Send an email with StartWithZero@stanbicibtc.com to get started.
#Invest
#ITCANBE","1,083","1,083","1,005","1,005",2.31%,2.49%,25,17,17,5,3
02/07/2023,5:51 PM,Instagram,Photo,Sophia Amuka,https://www.instagram.com/p/CuM8tyRMAtL/,"#MoneyManagement Tip 2:
Budgeting is not about deprivation. It's about making sure your money is working for you.
#ITCANBE",798,798,737,737,2.13%,2.31%,17,13,13,3,1
01/07/2023,12:10 PM,Instagram,Photo,Sophia Amuka,https://www.instagram.com/p/CuJw5XIN5l9/,"Who doesn’t like transacting with convenience? Note these magic short codes for your use. 
#ITCANBE","1,670","1,670","1,552","1,552",2.51%,2.71%,42,27,27,7,8
01/07/2023,4:48 PM,Instagram,Photo,Sophia Amuka,https://www.instagram.com/p/CuKQtgSOOpI/,"#MoneyManagement Tip 1:
Want to take control of your finances? Start by tracking your spending.
#ITCANBE",952,952,881,881,2.63%,2.84%,25,16,16,7,2
30/06/2023,9:31 AM,Instagram,Photo,Blessing Ubah,https://www.instagram.com/p/CuG555xtnmZ/,"Our E-trade platform and Stockbroking App gives our clients real-time market information and the ability to buy or sell shares with a single click. Visit the link in our bio and click on ‘Trusted Partner’ to begin.
#GoForGrowth
#TrustedPartner
#ITCANBE",625,625,581,581,2.24%,2.41%,14,14,14,0,0
30/06/2023,10:37 AM,Instagram,Video,Damilare Oyekanmi,https://www.instagram.com/p/CuHBfMKsaPe/,"Don't let budget constraints hinder you from owning your dream phone. With Stanbic IBTC Device Financing, you can easily acquire a high-quality mobile phone. Discover more in our latest episode of the enlightening series, 'Chemistry of Wealth.' Visit the link in our bio and click on 'Chemistry of Wealth' to listen
#ITCANBE","1,587","1,587","1,474","1,474",2.84%,3.05%,45,29,29,12,4
30/06/2023,2:50 PM,Instagram,Photo,Kemi Amoo,https://www.instagram.com/p/CuHeadbu1n5/,"Make it a date with us at the Ladies At The Table Empowerment Series 3.0 (LATTES). 
Don’t forget to tell a friend to follow the conversation on our social media channels.​

#LATTES
#ITCANBE",80,80,77,77,6.25%,6.49%,5,4,4,1,0
30/06/2023,3:47 PM,Instagram,Photo,Damilare Oyekanmi,https://www.instagram.com/p/CuHk8FmtQKF/,"Dreaming of a future filled with financial independence? A pension plan is a key that unlocks consistent income, peace of mind, and the freedom to live life on your own terms. Take the first step towards an incredible future at www.stanbicibtcpension.com. #ITCANBE",609,609,560,560,3.45%,3.75%,21,17,17,2,2
30/06/2023,5:10 PM,Instagram,Photo,Damilare Oyekanmi,https://www.instagram.com/p/CuHub9hutQp/,"Keep your money in check even when you travel out.
Stay tuned for our Twitter Spaces conversation on Wednesday, 19 July 2023. Set a reminder here -https://bit.ly/JoinOurTwitterSpace

#ITCANBE",705,705,656,656,3.26%,3.51%,23,16,16,6,1
30/06/2023,7:04 PM,Instagram,Video,Kemi Amoo,https://www.instagram.com/p/CuH7bTwJEbM/,"Get ready to be inspired, enlightened, and motivated as we delve into another remarkable experience of growth and empowerment.
Join us on YouTube Live and our other social media channels to catch-up with the Ladies At The Table (LATTES) 3.0.
#LATTES
#ITCANBE","1,066","1,066","1,005","1,005",2.53%,2.69%,27,21,21,6,0
30/06/2023,8:00 PM,Instagram,Photo,Kemi Amoo,https://www.instagram.com/p/CuIB5q2go6b/,"Make it a date with us at the Ladies At The Table Empowerment Series 3.0 (LATTES). 
Don’t forget to tell a friend to follow the conversation on our social media channels.​

#LATTES
#ITCANBE","1,481","1,481","1,388","1,388",3.04%,3.24%,45,37,37,6,2
29/06/2023,12:11 PM,Instagram,Photo,Damilare Oyekanmi,https://www.instagram.com/p/CuEnec4tdNi/,"Repeat these words of affirmation and manifest your financial dreams into reality.🙏🏽 
#ITCANBE",963,963,898,898,2.60%,2.78%,25,21,21,1,3
29/06/2023,2:39 PM,Instagram,Photo,Damilare Oyekanmi,https://www.instagram.com/p/CuE4W_Ot-74/,"Your employees are invaluable assets to your organisation. Prioritise their welfare with Stanbic IBTC Group Life Insurance today! Contact us at insure@stanbicibtc.com or call 01 270 6801 to build a better workplace for your team. 
#ITCANBE",661,661,625,625,1.97%,2.08%,13,9,9,1,3
29/06/2023,6:25 PM,Instagram,Photo,Damilare Oyekanmi,https://www.instagram.com/p/CuFSOPLrxdg/,"Ladies! Mark the date on your calendar. The third edition of the Ladies At The Table Empowerment Series (LATTES) is here. 
Register now https://bit.ly/BookaseatatLATTES_3 you don't want to miss it for anything!

#LATTES
#ITCANBE",154,154,149,149,4.55%,4.70%,7,5,5,1,1
28/06/2023,9:23 PM,Instagram,Video,Damilare Oyekanmi,https://www.instagram.com/p/CuDB31etMnN/,"Go ahead, embrace your inner hero, and shield your home with confidence!
#WealthWednesday
#ITCANBE",885,885,832,832,2.49%,2.64%,22,14,14,8,0
27/06/2023,7:48 AM,Instagram,Video,Blessing Ubah,https://www.instagram.com/p/Ct-_vZlN3Xf/,"Today we recognise the passion, determination, and innovation of micro, small and medium-sized business owners worldwide. Thank you for driving growth, creating jobs and bringing unique products and services to society.​
You inspire us 💪🏾 
#MSMEDay​
#ITCANBE","1,006","1,006",934,934,2.19%,2.36%,22,15,15,3,4
27/06/2023,10:50 AM,Instagram,Photo,Blessing Ubah,https://www.instagram.com/p/Ct_Uj6ZtJlu/,"To all the small business owners continually grinding and putting in the hard work, we see you and we appreciate you 💪🏾 
Tag any small business in the comments to appreciate them!​
#ITCANBE","1,161","1,161","1,076","1,076",4.82%,5.20%,56,30,30,24,2
27/06/2023,3:07 PM,Instagram,Photo,Blessing Ubah,https://www.instagram.com/p/Ct_x-Y9syjy/,"They give their today to grow your business, so why not ensure a future without worries for them? Move your employees to a Stanbic IBTC Pension Plan and get them set for retirement. Send an email to CallMe@stanbicibtc.com to get started.​
#ITCANBE","1,230","1,230","1,112","1,112",3.90%,4.32%,48,33,33,15,0
27/06/2023,4:38 PM,Instagram,Photo,Sophia Amuka,https://www.instagram.com/p/Ct_8do2MqsB/,"Our branches will be closed on Wednesday and Thursday this week due to the Eid-el Kabir holidays.
You can stay on top of your transactions by using any of our digital channels.
#ITCANBE","1,831","1,831","1,677","1,677",3%,3.28%,55,32,32,21,2
26/06/2023,8:37 AM,Instagram,Photo,Blessing Ubah,https://www.instagram.com/p/Ct8gi9Cs8M4/,"Your mindset sets the tone for your life!​
Think positive thoughts this week and #GoForIt 💪🏾 
#PowerUpMonday​
#ITCANBE",736,736,676,676,5.57%,6.07%,41,22,22,18,1
26/06/2023,3:09 PM,Instagram,Photo,Blessing Ubah,https://www.instagram.com/p/Ct9NaEus-9D/,"Our dedicated team of investment banking specialists leverage deep sector insights to offer our clients innovative advisory, capital markets and financing solutions to drive growth.​
Visit the link in our bio and click on 'Trusted Partner'  to learn more.​
#TrustedPartner​
#ITCANBE",760,760,713,713,3.29%,3.51%,25,19,19,5,1
25/06/2023,7:10 AM,Instagram,Photo,Blessing Ubah,https://www.instagram.com/p/Ct5xy-jMAcu/,"No matter the investment vehicle you choose, we’ve got you covered. Email CallMe@stanbicibtc.com to get started.​
#ITCANBE",979,979,925,925,1.94%,2.05%,19,16,16,0,3
25/06/2023,1:00 PM,Instagram,Carousel,Blessing Ubah,https://www.instagram.com/p/Ct6Z5QJsrSj/,"Running your business without a plan? It shouldn’t be!​
Here is a simple outline you can follow. ​
#SMETip​
#ITCANBE","1,158","1,158",928,928,2.59%,3.23%,30,18,18,1,11
25/06/2023,3:30 PM,Instagram,Photo,Kemi Amoo,https://www.instagram.com/p/Ct6rBD6NLas/,"Make it a date with us at the Ladies At The Table Empowerment Series 3.0 (LATTES). 
Don’t forget to tell a friend.
Visit the link in our bio and click on 'LATTES 3.0' to register.
#LATTES
#ITCANBE","1,832","1,832","1,709","1,709",2.73%,2.93%,50,43,43,4,3
25/06/2023,4:50 PM,Instagram,Photo,Blessing Ubah,https://www.instagram.com/p/Ct60LB5pmPB/,"What’s the best route for Karo Industries?​
Drop your answers in the comments.​
#ITCANBE",669,669,625,625,1.94%,2.08%,13,11,11,2,0
24/06/2023,11:55 AM,Instagram,Photo,Damilare Oyekanmi,https://www.instagram.com/p/Ct3tnTWMSK2/,"Remember, a strong business requires a strong leader. Take extra care of yourself this weekend. 💼💫​
Wishing you a restful and rejuvenating weekend!​

#ITCANBE​",549,549,494,494,2%,2.23%,11,10,10,1,0
24/06/2023,1:11 PM,Instagram,Photo,Damilare Oyekanmi,https://www.instagram.com/p/Ct32UCaMmgk/,"We know there’s so much more your business can do. Book a session with our experts today and let’s get you started on investing for your business.​
Visit https://bit.ly/StanbicIBTCInvestmentAdvisoryServices to learn more.​

#ITCANBE​",665,665,608,608,3.31%,3.62%,22,13,13,8,1
24/06/2023,1:33 PM,Instagram,Photo,Damilare Oyekanmi,https://www.instagram.com/p/Ct341HgMlxg/,"Pay your mechanic, buy fuel, pay for oil change and keep track of all logistics costs.​
Get a Stanbic IBTC Car Maintenance Card to keep business moving, literally. Email CallMe@stanbicibtc.com to begin.​

#ITCANBE​

​","1,505","1,505","1,406","1,406",2.66%,2.84%,40,18,18,20,2
23/06/2023,10:05 AM,Instagram,Photo,Blessing Ubah,https://www.instagram.com/p/Ct08OzMt5oR/,"As your Escrow agent, we will assist in facilitating business transactions by holding documents or funds on behalf of both transacting parties until Specific pre-agreed terms and conditions are fulfilled.
Visit https://bit.ly/StanbicibtcEscrowService  to learn more or send an email to CallMe@stanbicibtc.com to get started.
#ITCANBE",702,702,640,640,3.70%,4.06%,26,20,20,4,2
23/06/2023,10:41 AM,Instagram,Video,Damilare Oyekanmi,https://www.instagram.com/p/Ct1AVGttM4c/,"Preserve cherished memories of your loved ones and create unforgettable farewells with the Stanbic IBTC Sunset Benefit Plan. Explore further in the latest episode of our insightful series on 'Chemistry of Wealth.' Listen now at https://bit.ly/ChemistryOfWealthPodcast
#ITCANBE","1,058","1,058",966,966,2.36%,2.59%,25,20,20,3,2
23/06/2023,12:42 PM,Instagram,Video,Damilare Oyekanmi,https://www.instagram.com/p/Ct1ON6_t8Y6/,"At Stanbic IBTC, we believe in running our business with Humanity. Join us in making a positive impact by transforming the lives of children without limbs, restoring their physical abilities, and igniting their hopes, aspirations, and dreams. 
Watch the full video on our YouTube channel - youtube.com/@StanbicIBTC

#ITCANBE
#Together4ALimb","1,207","1,207","1,124","1,124",3.15%,3.38%,38,35,35,1,2
23/06/2023,5:29 PM,Instagram,Photo,Blessing Ubah,https://www.instagram.com/p/Ct1vC1hs-F9/,"Mark your calendars, Ibadan! 
The business masterclass is on its way to you. 
Register here for an opportunity that will change the course of your business - https://bit.ly/EnterpriseCampaign
#ITCANBE",460,460,419,419,2.39%,2.63%,11,11,11,0,0
22/06/2023,9:30 AM,Instagram,Carousel,Sophia Amuka,https://www.instagram.com/p/CtyTcOst07o/,"Running a business is not for the faint-hearted. If you’re just starting, we applaud you. Here are some tips for you.
Got any other tips? Share in the comments, you might just be helping someone.
#SMETip
#ITCANBE",844,844,623,623,3.20%,4.33%,27,16,16,7,4
22/06/2023,1:26 PM,Instagram,Photo,Blessing Ubah,https://www.instagram.com/p/CtyucYGNP0h/,"Operating your business without insurance in 2023? 👀 
Let us provide you with the #bestinsurancedeals to get your business covered. Send an email to insurancesolution@stanbicibtc.com or call 01 277 0394 to begin.​

#ITCANBE",969,969,900,900,2.27%,2.44%,22,18,18,3,1
22/06/2023,4:26 PM,Instagram,Photo,Blessing Ubah,https://www.instagram.com/p/CtzDChxsfUy/,"When you invest in FGN Bonds, you lay the building blocks for a stable future. 
Visit the link in our bio and click on 'FGN Bonds Offer' to learn more.
#Invest
#ITCANBE",565,565,498,498,2.48%,2.81%,14,10,10,4,0
22/06/2023,4:37 PM,Instagram,Video,Blessing Ubah,https://www.instagram.com/p/CtzETGhtWna/,"#Throwback to when the kids ‘blue’ us away with their energy and fun at the Blue Kids Children’s Day Party 🎉 🎈 🎊 
We can’t wait for next year’s edition 😉 
#ITCANBE
#BlueKids","2,756","2,756","2,424","2,424",2.69%,3.05%,74,61,61,8,5
22/06/2023,7:47 PM,Instagram,Photo,Blessing Ubah,https://www.instagram.com/p/CtzaCsAMp6u/,"Need your bank statement but no time to walk into a branch?​
We’ve got you covered. Log in to your Internet Banking portal to begin.​

#ITCANBE​",690,690,650,650,2.32%,2.46%,16,13,13,1,2
22/06/2023,9:04 PM,Instagram,Photo,Damilare Oyekanmi,https://www.instagram.com/p/Ctzi4a7s5Aa/,"With our Ladies At The Table Empowerment Series (LATTES), you can reach your greatest potential!
Don't miss out on the opportunity to connect with inspirational women, learn essential knowledge, and embark on a transforming journey toward empowerment. Visit the link in our bio and click on 'LATTES 3.0' to reserve your spot.

#ITCANBE
#LATTES",310,310,280,280,3.87%,4.29%,12,10,10,1,1
21/06/2023,9:07 AM,Instagram,Photo,Kemi Amoo,https://www.instagram.com/p/CtvsFd_MvNn/,"Where are the ladies? 
We invite you to join us for the third edition of the Ladies At The Table Empowerment Series (LATTES) 3.0.
Tell your friend to tell a friend.
Don't miss out!
#LATTES
#ITCANBE","1,067","1,067",947,947,3.19%,3.59%,34,21,21,9,4
21/06/2023,7:28 PM,Instagram,Carousel,Sophia Amuka,https://www.instagram.com/p/CtwzHbmMB9h/,"A Private Trust serves as a foundation for asset protection, preserving family wealth, and confidentiality. Let’s help you get started on this journey now! 
#WealthWednesday 
#ITCANBE","1,225","1,225",951,951,3.92%,5.05%,48,23,23,21,4
20/06/2023,5:41 PM,Instagram,Photo,Damilare Oyekanmi,https://www.instagram.com/p/CtuCCHhAG6x/,"Shielding your precious assets is a must-do!
Discover the ultimate love language for your assets in our latest blog post, packed with tips and tricks to safeguard them.
Visit https://bit.ly/StanbicIBTCBlog-Asset to delve into the world of asset protection.
#ITCANBE",660,660,611,611,2.12%,2.29%,14,12,12,0,2
