Date,Time,Network,Content Type,Sent by,Post,Impressions,Organic Impressions,Engagement Rate (per Impression),Engagements,Reactions,Likes,Comments,Shares,Click-Through Rate,Post Link Clicks,Post Clicks (All),Video Views,Organic Video Views,Poll Votes
09/07/2023,4:00 PM,LinkedIn,Photo,Kemi Amoo,"Update! Need to swap your FX to naira? We've got you covered! Download the Stanbic IBTC Mobile App now to get started.
#ITCANBE",371,371,3.23%,12,2,2,0,0,2.70%,10,10,0,0,0
09/07/2023,5:00 PM,LinkedIn,Photo,Blessing Ubah,"With the control of your finances at your fingertips, you can enjoy easy banking. 
#ITCANBE
",631,631,4.28%,27,14,14,0,2,1.74%,11,11,0,0,0
09/07/2023,7:53 PM,LinkedIn,Photo,Blessing Ubah,"Choose happiness daily to create a more joyful and fulfilling life. Incorporate these tips and make happiness-oriented decisions to cultivate a blissful existence. 
#HappySunday!
#ITCANBE
",585,585,4.62%,27,7,7,0,1,3.25%,19,19,0,0,0
08/07/2023,9:30 AM,LinkedIn,Video,Kemi Amoo,"With an impressive track record and a wealth of knowledge, Juliet Ehimuan (@jehimuan) delivered an enlightening and captivating keynote address at LATTES 3.0. Visit https://lnkd.in/dfWFfiPy if you missed it.
#LATTES
#ITCANBE",639,639,2.50%,16,7,7,0,0,1.41%,9,9,170,170,0
08/07/2023,10:02 AM,LinkedIn,Photo,Blessing Ubah,"Make secure payments with ease using NQR. Scan the QR code to initiate your payment.
#ITCANBE
",385,385,3.12%,12,10,10,0,0,0.52%,2,2,0,0,0
08/07/2023,3:00 PM,LinkedIn,Photo,Blessing Ubah,"With our Home Loan, you can get the desired space that reflects your personal taste and style. Visit https://lnkd.in/dASbfHCz  today to get started.
#ITCANBE
",253,253,2.77%,7,2,2,0,1,1.58%,4,4,0,0,0
08/07/2023,6:15 PM,LinkedIn,Video, ,"Experience the captivating semifinals of our talent hunt show, where dreams become reality and talent meets destiny. Visit https://bit.ly/FUZERecap for this thrilling showdown of extraordinary performances and unforgettable moments. 
#IgniteYourFUZE
#ITCANBE
","2,088","2,088",3.02%,63,19,19,0,0,2.11%,44,44,670,670,0
07/07/2023,10:08 AM,LinkedIn,Photo,Blessing Ubah,"Embrace the opportunity to invest in their education today. Visit https://lnkd.in/e6M4JuzD or email SITLAgency@stanbicibtc.com today and help your child in opening doors to a brighter future.
#ITCANBE
",250,250,1.20%,3,2,2,0,0,0.40%,1,1,0,0,0
07/07/2023,3:00 PM,LinkedIn,Video,Blessing Ubah,"Water serves as the fundamental impetus behind all natural phenomena, as famously stated by Leonardo da Vinci. It is this profound understanding that propelled us to install three solar-powered boreholes, benefitting more than 12,000 students attending Charanchi Primary School, Goron Dutse Special Primary/Secondary School, and Kofir Naisa Special Primary School in Kano state, Nigeria.
#ITCANBE",423,423,1.65%,7,4,4,0,0,0.71%,3,3,97,97,0
07/07/2023,3:59 PM,LinkedIn,Video,Damilare Oyekanmi,"How do you pursue happiness? Your Stanbic IBTC Mutual Funds investments can bring you great financial gains. Listen to the latest episode of our enlightening series, 'Chemistry of Wealth' at https://lnkd.in/dvX325S7 to find out how.

#ITCANBE
#InvestForMore

","1,028","1,028",2.33%,24,14,14,0,1,0.88%,9,9,365,365,0
07/07/2023,6:01 PM,LinkedIn,Photo,Blessing Ubah,"Whether you are spending quality time with loved ones or indulging in some much-needed self-care, this weekend will be a beautiful one. Amen?
#Weekend
#ITCANBE
",261,261,1.92%,5,5,5,0,0,0%,0,0,0,0,0
07/07/2023,7:23 PM,LinkedIn,Photo,Blessing Ubah,"Invest in the secure and reliable FGN Savings Bond and watch your wealth flourish. Send an email now to CallMe@stanbicibtc.com to build a brighter financial future today.
#ITCANBE",228,228,3.07%,7,3,3,2,0,0.88%,2,2,0,0,0
07/07/2023,8:40 PM,LinkedIn,Video,Blessing Ubah,"Where are the business gurus in Ibadan?
Join us at Gbagi and Agbeni Markets, where we'll embark on a transformative journey towards accelerating your business growth. 😉
Interested in opening a business account? Visit here now - https://lnkd.in/dTSaPMHs
#ITCANBE",320,320,1.56%,5,5,5,0,0,0%,0,0,83,83,0
07/07/2023,8:44 PM,LinkedIn,Photo,Blessing Ubah,"Greatest Uites and Bodija market,we are coming your way! 
Join us as we embark on a transformative journey towards accelerating business growth. 😉 
Interested in opening a business account? Visit here now - https://lnkd.in/dTSaPMHs
#ITCANBE",544,544,6.07%,33,5,5,0,0,5.15%,28,28,0,0,0
06/07/2023,12:21 PM,LinkedIn,Video,Blessing Ubah,"Stanbic IBTC PMI slightly dipped to 53.2 in June signalling a solid monthly improvement in the health of the private sector.

Here are the highlights.
#StanbicIBTCPMI
#ITCANBE",921,921,1.41%,13,9,9,0,1,0.33%,3,3,277,277,0
06/07/2023,2:30 PM,LinkedIn,Photo,Kemi Amoo,"It was an unforgettable event filled with sights that left us in awe!
#LATTES
#ITCANBE",268,268,1.49%,4,1,1,0,0,1.12%,3,3,0,0,0
06/07/2023,3:10 PM,LinkedIn,Photo,Kemi Amoo,"Are you in Enugu or Port Harcourt? ​
Join us at the business masterclass, where business ideas are ignited and manifested.​
#ITCANBE​",893,893,2.35%,21,11,11,0,0,1.12%,10,10,0,0,0
06/07/2023,5:16 PM,LinkedIn,Photo,Blessing Ubah,"Are you uncertain about the approach to take regarding your japa plans or how you can access your money while ‘in the abroad’? 
Make it a date with our experts on Twitter Spaces, and let's have a conversation about this.
Visit https://lnkd.in/dcFK-vwH to join.
#ITCANBE",287,287,3.14%,9,4,4,0,0,1.74%,5,5,0,0,0
06/07/2023,7:39 PM,LinkedIn,Video,Kemi Amoo,"Here is your one-stop guide on how to navigate the app and reset your password whenever you need to.
Download the Stanbic IBTC Mobile App now to begin.
#Invest
#TrustedBroker
#ITCANBE
",353,353,1.13%,4,1,1,0,0,0.85%,3,3,89,89,0
05/07/2023,11:02 AM,LinkedIn,Video, ,"Ladies At The Table Series (LATTES) 3.0

Hey ladies, are you prepared for an experience that will fuel your determination and ignite the fire within you?
Watch the 2023 edition of the Ladies At The Table Empowerment Series (LATTES). ",0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/07/2023,11:04 AM,LinkedIn,Video, ,"Ladies At The Table Empowerment Series 

Hey ladies, are you prepared for an experience that will fuel your determination and ignite the fire within you?
Watch the 2023 edition of the Ladies At The Table Empowerment Series (LATTES). ","11,846","11,846",6.43%,762,237,237,284,9,1.96%,232,232,"4,337","4,337",0
05/07/2023,4:17 PM,LinkedIn,Video,Kemi Amoo,"Your investment shouldn’t only be in Naira. It can be in Dollars too. Send an email to CallMe@stanbicibtc.com or call 01 270 6800 to get started.
#WealthWednesday
#ITCANBE",765,765,1.31%,10,5,5,0,0,0.65%,5,5,222,222,0
04/07/2023,9:00 AM,LinkedIn,Photo,Sophia Amuka,"Diversify your portfolio with Stanbic IBTC Money Market Fund. Visit https://lnkd.in/dKf4DH6w today to get started.​
#Invest​​
#MutualFunds​​
#ITCANBE ​
",275,275,1.82%,5,3,3,0,0,0.73%,2,2,0,0,0
04/07/2023,10:56 AM,LinkedIn,Photo,Blessing Ubah,"Tomorrow is D-DAY.​
Prepare to be immersed in a world of inspiration, knowledge, and limitless possibilities. It's your chance to meet our incredible speakers, receive vital insights, and ignite your personal and professional growth. ​
Click https://qrco.de/bdpAgz to download the Stanbic IBTC Events App, to register today.
#LATTES​
#ITCANBE",426,426,4.23%,18,10,10,0,0,1.88%,8,8,0,0,0
04/07/2023,12:19 PM,LinkedIn,Photo, ,"#MoneyManagement Tip 4:
Have self-control. Don't spend money you don't have.
#ITCANBE",430,430,1.86%,8,5,5,0,0,0.70%,3,3,0,0,0
04/07/2023,12:20 PM,LinkedIn,Text, ,Welcome to the Blue family 💙,"4,365","4,365",6.78%,296,55,55,8,0,5.34%,233,233,0,0,0
04/07/2023,6:04 PM,LinkedIn,Photo,Sophia Amuka,"Start your journey to wealth with FGN Bonds!
Hurry now and invest in the July offer.
To get started, email CallMe@stanbicibtc.com or visit https://lnkd.in/d52MrGSm

#Invest
#ITCANBE

",465,465,2.58%,12,6,6,0,2,0.86%,4,4,0,0,0
03/07/2023,8:00 AM,LinkedIn,Photo,Sophia Amuka,"Take charge and become the inspiration that sparks someone's journey this week! 💪 
#PowerUpMonday
#ITCANBE
","1,016","1,016",3.54%,36,26,26,1,1,0.79%,8,8,0,0,0
03/07/2023,11:58 AM,LinkedIn,Photo,Aramide Salami,"Driving growth beyond borders is what we do. NALMACO, a leading food processing company and other clients of Stanbic IBTC are currently exhibiting produce at the third biennial China-Africa Economic and Trade Expo (CAETE) through our parent group, Standard Bank. The expo aims to boost African goods and services exports by establishing new platforms for direct business cooperation and cross-border trade.
At Stanbic IBTC, our Africa-China trade solution connects clients to an extensive network of vetted export partners and reputable Chinese importers. To learn more, visit https://lnkd.in/d8kGphFU
#GoForGrowth
#ITCANBE",0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/07/2023,12:16 PM,LinkedIn,Photo,Sophia Amuka,"If you have any additional questions or concerns about Will writing, feel free to reach out to us at SITLAgency@stanbicibtc.com. 
#ITCANBE
",422,422,0.95%,4,2,2,0,0,0.47%,2,2,0,0,0
03/07/2023,12:54 PM,LinkedIn,Photo,Blessing Ubah,"Ready to take your business to a whole new level? ​
Join us at the business masterclass and discover top achievers' strategies to dominate their industries.​
#ITCANBE",779,779,2.95%,23,3,3,0,0,2.57%,20,20,0,0,0
03/07/2023,1:23 PM,LinkedIn,Photo,Blessing Ubah,"Driving growth beyond borders is what we do.
A selection of our clients were at the third biennial China-Africa Economic and Trade Expo (CAETE) through our parent group, Standard Bank, to exhibit their produce such as Soy Beans, Sorghum, Millet, Cashew nuts and Sesame Seeds. The expo served to boost African goods and services exports by establishing new platforms for direct business cooperation and cross-border trade.
At Stanbic IBTC, our Africa-China trade solution connects clients to an extensive network of vetted export partners and reputable Chinese importers. To learn more, visit https://lnkd.in/dtuuT4y8
#GoForGrowth
#ITCANBE",0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/07/2023,2:25 PM,LinkedIn,Photo,Blessing Ubah,"Driving growth beyond borders is what we do.
A selection of our clients were at the third biennial China-Africa Economic and Trade Expo (CAETE) through our parent group, Standard Bank, to exhibit their produce such as Soy Beans, Sorghum, Millet, Cashew nuts and Sesame Seeds. The expo served to boost African goods and services exports by establishing new platforms for direct business cooperation and cross-border trade.
At Stanbic IBTC, our Africa-China trade solution connects clients to an extensive network of vetted export partners and reputable Chinese importers. To learn more, visit https://lnkd.in/dtuuT4y8
#GoForGrowth
#ITCANBE","2,339","2,339",13%,304,32,32,1,0,11.59%,271,271,0,0,0
03/07/2023,3:15 PM,LinkedIn,Photo,Sophia Amuka,"#MoneyManagement Tip 3:
Save for your future today. Even a small amount can make a big difference.
#ITCANBE
",279,279,2.15%,6,4,4,2,0,0%,0,0,0,0,0
03/07/2023,4:25 PM,LinkedIn,Photo,Blessing Ubah,"Are you ready to take charge, embrace your real potential, and leave a lasting impression? Look no further! ​
Join us at the Ladies At The Table Empowerment Series (LATTES) 3.0.​
Tune in to our live broadcast on our social media channels and embark on an extraordinary journey of self-discovery, growth, and empowerment.​
Click https://qrco.de/bdpAgz to download the Stanbic IBTC Events App, to register today.
#LATTES​
#ITCANBE",407,407,4.42%,18,4,4,0,1,3.19%,13,13,0,0,0
02/07/2023,8:12 AM,LinkedIn,Photo,Damilare Oyekanmi,"Are you ready?​
Join us in three days for an event that promises to be full of great insights and transforming encounters. ​
Catch us on YouTube Live and our other social media channels to experience the Ladies At The Table Empowerment Series 3.0.​

#LATTES​
#ITCANBE​

​",645,645,3.57%,23,14,14,0,1,1.24%,8,8,0,0,0
02/07/2023,12:17 PM,LinkedIn,Photo,Sophia Amuka,"Take the first step by opening a stockbroking account with Stanbic IBTC Stockbrokers. Send an email with StartWithZero@stanbicibtc.com to get started.
#Invest
#ITCANBE
","1,129","1,129",2.48%,28,12,12,2,0,1.24%,14,14,0,0,0
02/07/2023,5:51 PM,LinkedIn,Photo,Sophia Amuka,"#MoneyManagement Tip 2:
Budgeting is not about deprivation. It's about making sure your money is working for you.
#ITCANBE
",459,459,1.96%,9,6,6,0,0,0.65%,3,3,0,0,0
01/07/2023,8:00 AM,LinkedIn,Video,Sophia Amuka,"Wishing you a wonderful start to #July! May this month be filled with positivity, growth, and new beginnings. Take a moment to set your goals and chase your dreams. 
#ITCANBE
","1,057","1,057",2.08%,22,15,15,0,3,0.38%,4,4,259,259,0
01/07/2023,4:48 PM,LinkedIn,Photo,Sophia Amuka,"#MoneyManagement Tip 1:
Want to take control of your finances? Start by tracking your spending.
#ITCANBE
",361,361,1.94%,7,3,3,0,0,1.11%,4,4,0,0,0
30/06/2023,9:31 AM,LinkedIn,Photo,Damilare Oyekanmi,"Our E-trade platform and Stockbroking App gives our clients real-time market information and the ability to buy or sell shares with a single click. Visit https://lnkd.in/dg7662eU to begin.
#GoForGrowth
#TrustedPartner
#ITCANBE
",411,411,2.19%,9,4,4,1,0,0.97%,4,4,0,0,0
30/06/2023,10:37 AM,LinkedIn,Video,Damilare Oyekanmi,"Don't let budget constraints hinder you from owning your dream phone. With Stanbic IBTC Device Financing, you can easily acquire a high-quality mobile phone. Discover more in our latest episode of the enlightening series, 'Chemistry of Wealth.' Listen now at https://lnkd.in/dvX325S7 .
#ITCANBE",417,417,1.20%,5,2,2,0,0,0.72%,3,3,840,840,0
30/06/2023,2:50 PM,LinkedIn,Photo,Kemi Amoo,"Make it a date with us at the Ladies At The Table Empowerment Series 3.0 (LATTES). 
Don’t forget to tell a friend to follow the conversation on our social media channels.​

#LATTES
#ITCANBE
",0,0,0,0,0,0,0,0,0,0,0,0,0,0
30/06/2023,3:05 PM,LinkedIn,Photo,Damilare Oyekanmi,"Your retirement deserves more than just a benefit; it deserves financial freedom. A pension plan opens the door to a consistent income stream, peace of mind, and the ability to embrace the lifestyle you've always dreamt of. Begin your incredible journey towards an amazing future at www.stanbicibtcpension.com. 
#ITCANBE
",609,609,2.46%,15,10,10,0,0,0.82%,5,5,0,0,0
30/06/2023,5:10 PM,LinkedIn,Photo,Damilare Oyekanmi,"Keep your money in check even when you travel out.
Stay tuned for our Twitter Spaces conversation on Wednesday, 19 July 2023. Set a reminder here -https://lnkd.in/dk3ypsbT

#ITCANBE
",237,237,0%,0,0,0,0,0,0%,0,0,0,0,0
30/06/2023,7:02 PM,LinkedIn,Video,Kemi Amoo,"Get ready to be inspired, enlightened, and motivated as we delve into another remarkable experience of growth and empowerment.
Join us on YouTube Live and our other social media channels to catch-up with the Ladies At The Table (LATTES) 3.0.
#LATTES
#ITCANBE
",607,607,1.15%,7,1,1,0,4,0.33%,2,2,205,205,0
30/06/2023,8:00 PM,LinkedIn,Photo,Kemi Amoo,"Make it a date with us at the Ladies At The Table Empowerment Series 3.0 (LATTES). 
Don’t forget to tell a friend to follow the conversation on our social media channels.​

#LATTES
#ITCANBE
",942,942,5.63%,53,21,21,0,2,3.18%,30,30,0,0,0
29/06/2023,10:13 AM,LinkedIn,Video,Damilare Oyekanmi,"We still haven’t gotten over the Reward4Saving 2.0 winning moments. 💃🏽 🕺🏽 
Get ready for the upcoming 3.0 promo. To participate, simply deposit N10,000 into a new or existing savings account or @easewallet. 
Let's embark on this savings journey together!  
#ITCANBE
",122,122,1.64%,2,1,1,0,0,0.82%,1,1,27,27,0
29/06/2023,12:11 PM,LinkedIn,Photo,Damilare Oyekanmi,"Repeat these words of affirmation and manifest your financial dreams into reality.🙏🏽 
#ITCANBE
",209,209,2.87%,6,3,3,0,0,1.44%,3,3,0,0,0
29/06/2023,2:09 PM,LinkedIn,Photo,Damilare Oyekanmi,"Safeguard the well-being of your team members and unlock a brighter future for your employees. Take the first step by reaching out to us at insure@stanbicibtc.com or call 01 270 6801. 
#ITCANBE",106,106,0%,0,0,0,0,0,0%,0,0,0,0,0
29/06/2023,3:34 PM,LinkedIn,Video,Damilare Oyekanmi,"Everyone needs a support system to thrive, and the Blue Blossom Community offers just that!
Click https://lnkd.in/d-3GFWkM to join today.
#GoBloom
#ITCANBE
",236,236,0.42%,1,0,0,0,0,0.42%,1,1,46,46,0
29/06/2023,6:25 PM,LinkedIn,Photo,Damilare Oyekanmi,"Ladies! Mark the date on your calendar. The third edition of the Ladies At The Table Empowerment Series (LATTES) is here. 
Register now https://lnkd.in/d5ksQc_i you don't want to miss it for anything!

#LATTES
#ITCANBE
",109,109,4.59%,5,5,5,0,0,0%,0,0,0,0,0
29/06/2023,8:42 PM,LinkedIn,Video,Damilare Oyekanmi,"With one Corporate Social Initiative at a time, we believe we can create a world where women and girls feel empowered to conquer their dreams. 
#ITCANBE",796,796,2.39%,19,9,9,2,1,0.88%,7,7,216,216,0
28/06/2023,8:47 AM,LinkedIn,Video,Damilare Oyekanmi,"Wishing you and your loved ones an abundance of blessings during this joyous season.
Eid-el Kabir!
#ITCANBE",562,562,2.31%,13,10,10,0,1,0.36%,2,2,160,160,0
28/06/2023,9:23 PM,LinkedIn,Video,Damilare Oyekanmi,"Go ahead, embrace your inner hero, and shield your home with confidence!
#WealthWednesday
#ITCANBE
",591,591,1.18%,7,4,4,0,0,0.51%,3,3,172,172,0
27/06/2023,7:48 AM,LinkedIn,Video,Blessing Ubah,"Today we recognise the passion, determination, and innovation of micro, small and medium-sized business owners worldwide. Thank you for driving growth, creating jobs and bringing unique products and services to society.​
You inspire us 💪🏾 
#MSMEDay​
#ITCANBE",645,645,2.02%,13,10,10,0,0,0.47%,3,3,169,169,0
27/06/2023,10:50 AM,LinkedIn,Photo,Blessing Ubah,"To all the small business owners continually grinding and putting in the hard work, we see you and we appreciate you 💪🏾 
Tag any small business in the comments to appreciate them!​
#ITCANBE",327,327,2.45%,8,7,7,0,0,0.31%,1,1,0,0,0
27/06/2023,3:07 PM,LinkedIn,Photo,Blessing Ubah,"They give their today to grow your business, so why not ensure a future without worries for them? Move your employees to a Stanbic IBTC Pension Plan and get them set for retirement. Send an email to CallMe@stanbicibtc.com to get started.​
#ITCANBE",252,252,1.19%,3,1,1,0,0,0.79%,2,2,0,0,0
27/06/2023,4:38 PM,LinkedIn,Photo,Sophia Amuka,"Our branches will be closed on Wednesday and Thursday this week due to the Eid-el Kabir holidays.
You can stay on top of your transactions by using any of our digital channels.
#ITCANBE",421,421,2.14%,9,8,8,0,0,0.24%,1,1,0,0,0
26/06/2023,8:37 AM,LinkedIn,Photo,Blessing Ubah,"Your mindset sets the tone for your life!​
Think positive thoughts this week and #GoForIt 💪🏾 
#PowerUpMonday​
#ITCANBE",198,198,0.51%,1,0,0,0,0,0.51%,1,1,0,0,0
26/06/2023,10:04 AM,LinkedIn,Photo,Blessing Ubah,"Running your business without a plan? It shouldn’t be!​
Here is a simple outline you can follow. ​
#SMETip​
#ITCANBE","2,892","2,892",10.06%,291,36,36,0,4,8.68%,251,251,0,0,0
26/06/2023,2:47 PM,LinkedIn,Photo,Blessing Ubah,"Our dedicated team of investment banking specialists leverage deep sector insights to offer our clients innovative advisory, capital markets and financing solutions to drive growth.​
Click https://lnkd.in/d5kh5Kc4  to learn more.​
#TrustedPartner​
#ITCANBE",333,333,1.20%,4,4,4,0,0,0%,0,0,0,0,0
25/06/2023,7:10 AM,LinkedIn,Photo,Blessing Ubah,"No matter the investment vehicle you choose, we’ve got you covered. Email CallMe@stanbicibtc.com to get started.​
#ITCANBE",547,547,2.19%,12,4,4,0,0,1.46%,8,8,0,0,0
25/06/2023,3:30 PM,LinkedIn,Photo,Kemi Amoo,"Make it a date with us at the Ladies At The Table Empowerment Series 3.0 (LATTES). 
Don’t forget to tell a friend.
Click https://lnkd.in/d5ksQc_i to register.
#LATTES
#ITCANBE
",829,829,4.95%,41,9,9,0,3,3.50%,29,29,0,0,0
24/06/2023,11:55 AM,LinkedIn,Photo,Damilare Oyekanmi,"Remember, a strong business requires a strong leader. Take extra care of yourself this weekend. 💼💫​
Wishing you a restful and rejuvenating weekend!​

#ITCANBE​",355,355,1.13%,4,1,1,0,1,0.56%,2,2,0,0,0
24/06/2023,1:11 PM,LinkedIn,Photo,Damilare Oyekanmi,"We know there’s so much more your business can do. Book a session with our experts today and let’s get you started on investing for your business.​
Visit https://lnkd.in/dTMkyjHW to learn more.​

#ITCANBE​",378,378,0.79%,3,3,3,0,0,0%,0,0,0,0,0
24/06/2023,1:33 PM,LinkedIn,Photo,Damilare Oyekanmi,"Pay your mechanic, buy fuel, pay for oil change and keep track of all logistics costs.​
Get a Stanbic IBTC Car Maintenance Card to keep business moving, literally. Email CallMe@stanbicibtc.com to begin.​

#ITCANBE​

​",444,444,2.25%,10,4,4,0,0,1.35%,6,6,0,0,0
23/06/2023,9:04 AM,LinkedIn,Photo,Blessing Ubah,"In our world of Corporate and Investment Banking, trust and relationships, more than money, are the currency of business.​
Click https://lnkd.in/d5kh5Kc4 to begin.​
#GoForGrowth​
#TrustedPartner​
#ITCANBE​",846,846,3.90%,33,27,27,0,1,0.59%,5,5,0,0,0
23/06/2023,10:05 AM,LinkedIn,Photo,Blessing Ubah,"As your Escrow agent, we will assist in facilitating business transactions by holding documents or funds on behalf of both transacting parties until Specific pre-agreed terms and conditions are fulfilled.
Visit https://lnkd.in/d_Jdh3nJ  to learn more or send an email to CallMe@stanbicibtc.com to get started.
#ITCANBE
",245,245,0.41%,1,0,0,1,0,0%,0,0,0,0,0
23/06/2023,10:41 AM,LinkedIn,Video,Damilare Oyekanmi,"Preserve cherished memories of your loved ones and create unforgettable farewells with the Stanbic IBTC Sunset Benefit Plan. Explore further in the latest episode of our insightful series on 'Chemistry of Wealth.' Listen now at https://lnkd.in/dvX325S7
#ITCANBE",282,282,1.42%,4,0,0,0,0,1.42%,4,4,"4,171","4,171",0
23/06/2023,12:41 PM,LinkedIn,Video,Damilare Oyekanmi,"At Stanbic IBTC, we believe in running our business with Humanity. Join us in making a positive impact by transforming the lives of children without limbs, restoring their physical abilities, and igniting their hopes, aspirations, and dreams. 
Watch the full video on our YouTube channel - https://lnkd.in/dJ3q2Rfe

#ITCANBE
#Together4ALimb","1,493","1,493",2.48%,37,26,26,3,2,0.40%,6,6,588,588,0
23/06/2023,1:54 PM,LinkedIn,Video,Blessing Ubah,"There’s no greater satisfaction than service to humanity.
This was the driving force of our Operations Shared service team as they donated medical equipment to Sabon Tasha General Hospital in Kaduna State, Nigeria.
#ITCANBE
",416,416,0.48%,2,2,2,0,0,0%,0,0,116,116,0
23/06/2023,5:29 PM,LinkedIn,Photo,Blessing Ubah,"Mark your calendars, Ibadan! 
The business masterclass is on its way to you. 
Register here for an opportunity that will change the course of your business - https://lnkd.in/dtrb9xG4
#ITCANBE",98,98,2.04%,2,1,1,0,0,1.02%,1,1,0,0,0
23/06/2023,6:27 PM,LinkedIn,Video,Blessing Ubah,"Have you caught up on all the fun and magic from the FUZE Talent Hunt?
Click https://lnkd.in/dw5wn3yF  to watch now!
#FUZE
#IgniteYourFuze
#ITCANBE
",728,728,1.51%,11,7,7,0,0,0.55%,4,4,254,254,0
22/06/2023,12:32 AM,LinkedIn,Photo,Blessing Ubah,"Speak to our investment gurus or visit https://lnkd.in/d6cXtyPj to​ find out ways your investments can do more for you.​
#ITCANBE",222,222,1.80%,4,1,1,2,1,0%,0,0,0,0,0
22/06/2023,9:30 AM,LinkedIn,Photo,Sophia Amuka,"Running a business is not for the faint-hearted. If you’re just starting, we applaud you. Here are some tips for you.
Got any other tips? Share in the comments, you might just be helping someone.
#SMETip
#ITCANBE
",370,370,0.54%,2,1,1,0,0,0.27%,1,1,0,0,0
22/06/2023,1:44 PM,LinkedIn,Photo,Blessing Ubah,"Don’t let unforeseen circumstances bring your business to a halt. ​
Let us provide you with the #bestinsurancedeals to get your business covered. Send an email to insurancesolution@stanbicibtc.com or call 01 277 0394 to begin.​
#ITCANBE",231,231,1.73%,4,4,4,0,0,0%,0,0,0,0,0
22/06/2023,4:37 PM,LinkedIn,Video,Blessing Ubah,"#Throwback to when the kids ‘blue’ us away with their energy and fun at the Blue Kids Children’s Day Party 🎉 🎈 🎊 
We can’t wait for next year’s edition 😉 
#ITCANBE
#BlueKids","1,572","1,572",2.54%,40,34,34,0,2,0.25%,4,4,662,662,0
22/06/2023,4:42 PM,LinkedIn,Photo,Blessing Ubah,"When you invest in FGN Bonds, you lay the building blocks for a stable future. To learn more, click https://lnkd.in/d52MrGSm
#Invest
#ITCANBE
",284,284,1.06%,3,3,3,0,0,0%,0,0,0,0,0
22/06/2023,7:47 PM,LinkedIn,Photo,Blessing Ubah,"Need your bank statement but no time to walk into a branch?​
We’ve got you covered. Log in to your Internet Banking portal to begin.​

#ITCANBE​",500,500,3%,15,5,5,3,0,1.40%,7,7,0,0,0
